epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.99210500717, -68.290459, 0.824903, 
2, 3.67185807228, -21.481125, 0.846383, 
3, 3.96309280396, -14.025473, 0.848562, 
4, 4.33706498146, -10.389642, 0.842306, 
5, 4.34930706024, -8.191546, 0.849043, 
6, 3.67451786995, -6.733072, 0.848401, 
7, 3.69224190712, -5.642018, 0.851839, 
8, 3.67802286148, -4.894981, 0.850676, 
9, 3.68038392067, -4.126617, 0.855834, 
10, 3.69457602501, -3.779781, 0.841016, 
11, 3.7274620533, -3.403817, 0.845234, 
12, 3.87169599533, -3.071248, 0.848938, 
13, 4.23887181282, -2.900532, 0.847803, 
14, 5.21550607681, -2.586838, 0.850008, 
15, 4.17577600479, -2.432417, 0.854294, 

0.920826542778
