epoch number, elapsed time, train loss, train ndcg@10, val ndcg@10
1, 3.57569217682, -68.179100, 0.826864, 0.944925
2, 4.66311502457, -22.051270, 0.851393, 0.937773
3, 3.84175395966, -14.756363, 0.844401, 0.924761
4, 3.62586712837, -10.788950, 0.860646, 0.924961
5, 3.50506687164, -8.717691, 0.852439, 0.924961
6, 3.74816989899, -6.890338, 0.859930, 0.925203
7, 3.48349094391, -5.941871, 0.868044, 0.925203
8, 3.67117595673, -5.078179, 0.865365, 0.925203
9, 3.57379889488, -4.386296, 0.868726, 0.929879
10, 3.60846996307, -4.036205, 0.867966, 0.930179
11, 3.56017899513, -3.595770, 0.870356, 0.929879
12, 3.70957398415, -3.282557, 0.866663, 0.928613
13, 5.30977702141, -2.857339, 0.868003, 0.928314
14, 3.97107410431, -2.695903, 0.868003, 0.928613
15, 3.71814322472, -2.438012, 0.868592, 0.931089
16, 4.11509299278, -2.498785, 0.868068, 0.931089
17, 4.16549491882, -2.220361, 0.848416, 0.917908

0.859285347032
